mode: atomic
desci-backend/internal/db/db.go:33.30,45.2 1 0
desci-backend/internal/db/db.go:48.31,51.2 1 0
desci-backend/internal/db/db.go:54.66,56.16 2 0
desci-backend/internal/db/db.go:56.16,58.3 1 0
desci-backend/internal/db/db.go:61.2,62.16 2 0
desci-backend/internal/db/db.go:62.16,64.3 1 0
desci-backend/internal/db/db.go:67.2,72.47 4 0
desci-backend/internal/db/db.go:72.47,74.3 1 0
desci-backend/internal/db/db.go:76.2,76.16 1 0
desci-backend/internal/db/db.go:80.34,81.49 1 0
desci-backend/internal/db/db.go:81.49,83.3 1 0
desci-backend/internal/db/db.go:85.2,86.21 2 0
desci-backend/internal/db/db.go:90.81,92.16 2 0
desci-backend/internal/db/db.go:92.16,94.3 1 0
desci-backend/internal/db/db.go:97.2,98.16 2 0
desci-backend/internal/db/db.go:98.16,100.3 1 0
desci-backend/internal/db/db.go:102.2,102.21 1 0
desci-backend/internal/db/db.go:102.21,104.3 1 0
desci-backend/internal/db/db.go:107.2,107.29 1 0
desci-backend/internal/db/db.go:107.29,108.64 1 0
desci-backend/internal/db/db.go:108.64,110.4 1 0
desci-backend/internal/db/db.go:113.2,113.12 1 0
desci-backend/internal/db/db.go:117.54,120.81 2 0
desci-backend/internal/db/db.go:120.81,121.17 1 0
desci-backend/internal/db/db.go:121.17,123.4 1 0
desci-backend/internal/db/db.go:125.3,125.16 1 0
desci-backend/internal/db/db.go:125.16,127.4 1 0
desci-backend/internal/db/db.go:129.3,129.59 1 0
desci-backend/internal/db/db.go:129.59,131.4 1 0
desci-backend/internal/db/db.go:133.3,133.13 1 0
desci-backend/internal/db/db.go:136.2,136.16 1 0
desci-backend/internal/db/db.go:136.16,138.3 1 0
desci-backend/internal/db/db.go:141.2,142.19 2 0
desci-backend/internal/db/db.go:146.83,148.16 2 0
desci-backend/internal/db/db.go:148.16,150.3 1 0
desci-backend/internal/db/db.go:153.2,154.16 2 0
desci-backend/internal/db/db.go:154.16,156.3 1 0
desci-backend/internal/db/db.go:157.2,160.64 2 0
desci-backend/internal/db/db.go:160.64,162.3 1 0
desci-backend/internal/db/db.go:165.2,165.36 1 0
desci-backend/internal/db/db.go:165.36,167.3 1 0
desci-backend/internal/db/db.go:169.2,169.12 1 0
desci-backend/cmd/server/main.go:18.13,24.16 3 0
desci-backend/cmd/server/main.go:24.16,26.3 1 0
desci-backend/cmd/server/main.go:29.2,36.36 4 0
desci-backend/cmd/server/main.go:36.36,46.17 3 0
desci-backend/cmd/server/main.go:46.17,48.4 1 0
desci-backend/cmd/server/main.go:48.9,49.48 1 0
desci-backend/cmd/server/main.go:49.48,51.5 1 0
desci-backend/cmd/server/main.go:51.10,54.5 1 0
desci-backend/cmd/server/main.go:59.2,60.51 2 0
desci-backend/cmd/server/main.go:60.51,62.3 1 0
desci-backend/cmd/server/main.go:65.2,76.41 8 0
desci-backend/internal/model/models.go:48.36,50.2 1 0
desci-backend/internal/model/models.go:59.52,60.14 1 0
desci-backend/internal/model/models.go:60.14,62.3 1 0
desci-backend/internal/model/models.go:63.2,63.24 1 0
desci-backend/internal/model/models.go:67.53,68.18 1 0
desci-backend/internal/model/models.go:68.18,71.3 2 0
desci-backend/internal/model/models.go:73.2,73.27 1 0
desci-backend/internal/model/models.go:74.14,75.30 1 0
desci-backend/internal/model/models.go:76.14,77.38 1 0
desci-backend/internal/model/models.go:78.10,79.52 1 0
desci-backend/internal/config/config.go:28.21,43.2 1 0
desci-backend/internal/config/config.go:45.46,46.42 1 0
desci-backend/internal/config/config.go:46.42,48.3 1 0
desci-backend/internal/config/config.go:49.2,49.21 1 0
desci-backend/internal/config/config.go:52.59,53.42 1 0
desci-backend/internal/config/config.go:53.42,54.66 1 0
desci-backend/internal/config/config.go:54.66,56.4 1 0
desci-backend/internal/config/config.go:58.2,58.21 1 0
desci-backend/internal/api/router.go:14.52,16.2 1 0
desci-backend/internal/api/router.go:18.45,26.2 4 0
desci-backend/internal/api/router.go:26.2,30.3 3 0
desci-backend/internal/api/router.go:32.2,32.10 1 0
desci-backend/internal/api/router.go:36.47,41.2 1 0
desci-backend/internal/api/router.go:44.47,48.16 3 0
desci-backend/internal/api/router.go:48.16,53.3 2 0
desci-backend/internal/api/router.go:55.2,55.33 1 0
desci-backend/internal/api/router.go:59.46,63.16 3 0
desci-backend/internal/api/router.go:63.16,68.3 2 0
desci-backend/internal/api/router.go:70.2,70.32 1 0
